Costitems,CostType,hours,customer,estimator,status,projectName,dateUpdated,dateCreated,projectNumber,Quantity,cost,sales
4000 Psi DVC Concrete  ,Part,0,"Milex Construction, LLC",Stoltzfus Jr Isaac,Accepted,Sadsbury Commons,1/16/2026,11/19/2025,2508 - SC,1710,"$251,370.00 ","$336,835.80 "
4000 Psi DVC Concrete  ,Part,0,Scenic Ridge Construction,Stoltzfus Jr Isaac,Bid Submitted,Sadsbury Commons,1/16/2026,9/10/2025,2508 - SC,1719,"$252,693.00 ","$333,554.76 "
Canadochly Supply Install Rebar,Subcontractor,0,CCS Building Group,Steffy Rick,Bid Submitted,Mosaic,1/16/2026,11/11/2025,2507 - M,680940,"$292,804.20 ","$327,940.70 "
3500 Psi Lightweight Concrete  ,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Apartments + Garage,1/16/2026,4/2/2025,WG-25-001,1122,"$237,998.64 ","$316,538.19 "
Slab On Grade Labor ,Labor,1536,"Benchmark Construction Co., Inc.",Steffy Rick,Bid Submitted,Hershey Lumber Company,1/16/2026,8/18/2025,2508 - HLC,1536,"$233,472.00 ","$312,852.48 "
3500 psi Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Cozy Cabins,1/16/2026,8/21/2025,2508-CC,1653.9,"$232,290.26 ","$308,946.04 "
3500 psi Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Cozy Cabins,1/16/2026,8/13/2025,2508-CC,1653.9,"$232,290.26 ","$308,946.04 "
Slab on Grade Subcontractor / Groffdale Shoring Package & Install Labor ,Subcontractor,0,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Collegeville Apartments,1/16/2026,11/13/2025,CA-25-001,100,"$283,000.00 ","$297,150.00 "
Poured Wall Subcontractor / Groffdale ,Subcontractor,0,Warfel Construction,Stoltzfus Jr Isaac,Bid Submitted,ACTS Lower Gwynedd - Oakbridge Terrace,1/16/2026,9/23/2025,2508 - OT,100,"$258,000.00 ","$288,960.00 "
Poured Wall Subcontractor / Groffdale ,Subcontractor,0,Wohlsen Construction Company,Stoltzfus Jr Isaac,Bid Submitted,ACTS Lower Gwynedd - Oakbridge Terrace,1/16/2026,9/16/2025,2508 - OT,100,"$258,000.00 ","$288,960.00 "
Slab On Grade Concrete - New Enterprise ,Part,0,High Construction Company,Steffy Rick,Bid Submitted,Highlands Flex Warehouse,1/16/2026,10/14/2025,2510 - HFW,1835,"$257,725.75 ","$286,075.58 "
4000 Psi Clayton Concrete  ,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,CANVAS Lawrenceville-Apartments,1/16/2026,10/1/2025,2506 - CL ,1230,"$211,646.10 ","$281,489.31 "
Poured Wall Subcontractor ,Subcontractor,0,CCS Building Group,Steffy Rick,Bid Submitted,Mosaic,1/16/2026,11/11/2025,2507 - M,1,"$246,960.00 ","$276,595.20 "
 Excavation Subcontractor / BN Excavating,Subcontractor,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Apartments + Garage,1/16/2026,4/2/2025,WG-25-001,1000,"$211,493.30 ","$236,872.50 "
#6 Rebar - 20' Pc,Part,0,Wohlsen Construction Company,Steffy Rick,Lost,Crossroads Beverage,1/16/2026,4/4/2025,CB - 25 - 001,11862,"$166,898.34 ","$221,974.79 "
 Excavation Subcontractor,Subcontractor,0,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Audubon Collegeville,1/16/2026,9/19/2025,2518 - AC,100,"$198,989.86 ","$214,913.27 "
Site Concrete Labor ,Labor,4200,CH+N Site,Stoltzfus Jr Isaac,In Progress,Broadcasting District Site,1/16/2026,10/6/2025,2507-BS,4200,"$159,600.00 ","$212,268.00 "
4000 Psi NE Concrete  ,Part,0,DML Poured Walls,Stoltzfus Jr Isaac,Bid Submitted,Complete Recycling Group ,1/16/2026,12/24/2025,2512 - CR,1107,"$158,411.70 ","$209,103.44 "
Wire Mesh 6 ga  (2.9x2.9 6x6) 8'x15' Sheet,Part,0,"Benchmark Construction Co., Inc.",Steffy Rick,Bid Submitted,Hershey Lumber Company,1/16/2026,8/18/2025,2508 - HLC,1526.67,"$155,995.14 ","$209,033.49 "
4000 psi Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,In Progress,Shank Door Site,1/16/2026,4/9/2025,SDS-25-001,1070.7,"$144,705.11 ","$192,457.79 "
#4 Rebar - 20' Pc,Part,0,Wohlsen Construction Company,Steffy Rick,Lost,Crossroads Beverage,1/16/2026,4/3/2025,CB - 25 - 001,22374,"$140,061.24 ","$186,281.45 "
Foundation Subcontractor ,Subcontractor,0,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Audubon Collegeville,1/16/2026,9/19/2025,2518 - AC,100,"$181,951.90 ","$181,951.90 "
Site Concrete  ,Part,0,CH+N Site,Steffy Rick,Bid Submitted,GLC Lehigh Valley Warehouse,1/16/2026,1/5/2026,2601 - GLC,950,"$136,448.50 ","$181,476.51 "
Site Concrete  ,Part,0,Horst Excavating,Steffy Rick,Bid Submitted,GLC Lehigh Valley Warehouse,1/16/2026,1/6/2026,2601 - GLC,950,"$136,448.50 ","$181,476.51 "
Foundation Subcontractor ,Subcontractor,0,"Benchmark Construction Co., Inc.",Steffy Rick,Bid Submitted,Hershey Lumber Company,1/16/2026,8/19/2025,2508 - HLC,1,"$161,870.00 ","$181,294.40 "
 Excavation Sub-Contractor / B.R. Kreider ,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/8/2025,GR-25-001 ,100,"$158,310.00 ","$180,473.40 "
Site Concrete Subcontractor ,Subcontractor,0,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Audubon Collegeville,1/16/2026,9/19/2025,2518 - AC,100,"$180,323.52 ","$180,323.52 "
Slab On Grade Concrete  ,Part,0,"Benchmark Construction Co., Inc.",Steffy Rick,Bid Submitted,Hershey Lumber Company,1/16/2026,8/18/2025,2508 - HLC,302.78,"$133,834.83 ","$179,338.65 "
Slab On Grade Concrete  ,Part,0,J.E. Horst Building and Remodeling,Steffy Rick,Bid Submitted,Farmer Boy Ag,1/16/2026,10/13/2025,2510 - FBA,951,"$133,567.95 ","$177,645.37 "
 3500 Psi Trans-Fleet Concrete,Part,0,Bozzuto Construction Company,Stoltzfus Jr Isaac,Bid Submitted,"Residences at Providence Town Center, Phase 3",1/16/2026,8/15/2025,RP-25-001,326,"$132,235.38 ","$174,550.71 "
Poured Wall Subcontractor / Groffdale ,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/8/2025,GR-25-001 ,1000,"$147,000.00 ","$167,580.00 "
Poured Wall Subcontractor / Groffdale ,Subcontractor,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Ave Horsham Apartments + Garage,1/16/2026,11/4/2025,2510 - HA,100,"$150,000.00 ","$166,500.00 "
4000 Psi NE Concrete  ,Part,0,DML Poured Walls,Stoltzfus Jr Isaac,Bid Submitted,Complete Recycling Group ,1/16/2026,12/24/2025,2512 - CR,873,"$124,926.30 ","$164,902.72 "
Site Concrete  ,Part,0,"Centurion Construction Group, LLC",Steffy Rick,Bid Submitted,Burkentine Warehouse,1/16/2026,4/8/2025,BW - 25 - 001,807,"$121,897.35 ","$163,342.45 "
Site Concrete  ,Part,0,CH+N Site,Steffy Rick,Bid Submitted,GLC Lehigh Valley Warehouse,1/16/2026,1/6/2026,2601 - GLC,852,"$122,372.76 ","$162,755.77 "
Site Concrete  ,Part,0,Horst Excavating,Steffy Rick,Bid Submitted,GLC Lehigh Valley Warehouse,1/16/2026,1/6/2026,2601 - GLC,852,"$122,372.76 ","$162,755.77 "
Foundation Concrete  ,Part,0,CCS Building Group,Steffy Rick,Bid Submitted,Mosaic,1/16/2026,11/11/2025,2507 - M,872,"$117,850.80 ","$156,741.56 "
Slab On Grade Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Farmer Boy Ag,1/16/2026,12/10/2025,2512-FBA,835,"$117,275.75 ","$155,976.75 "
Site Concrete Labor ,Labor,2078,CH+N Site,Steffy Rick,In Progress,Middletown Area Primary School,1/16/2026,4/1/2025,MAPS - 25 - 001,2078,"$116,180.98 ","$154,520.70 "
Slab On Grade Concrete  ,Part,0,J.E. Horst Building and Remodeling,Steffy Rick,Bid Submitted,Farmer Boy Ag,1/16/2026,10/13/2025,2510 - FBA,820,"$115,169.00 ","$153,174.77 "
Foundation Concrete  ,Part,0,Wohlsen Construction Company,Steffy Rick,Lost,Crossroads Beverage,1/16/2026,4/2/2025,CB - 25 - 001,778,"$113,393.50 ","$150,813.36 "
"3/8"" CDX Plywood",Part,0,"Benchmark Construction Co., Inc.",Steffy Rick,Bid Submitted,Hershey Lumber Company,1/16/2026,8/19/2025,2508 - HLC,1006,"$110,478.92 ","$148,041.76 "
5000 Psi DVC Concrete  ,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Ave Horsham Apartments + Garage,1/16/2026,11/4/2025,2510 - HA,620,"$104,166.20 ","$145,832.68 "
Fiber ,Part,0,Wohlsen Construction Company,Steffy Rick,Lost,Crossroads Beverage,1/16/2026,4/2/2025,CB - 25 - 001,10728.89,"$108,039.92 ","$143,693.10 "
"6"" 3500 PSI Concrete With F100 Fiber ",Part,0,"Hoover Building Specialists, Inc.",Steffy Rick,Bid Submitted,Paradise Energy Solutions Building,1/16/2026,12/31/2024,PESB - 24-001,731,"$105,380.96 ","$140,156.68 "
"6"" 4000 PSI Concrete  ",Part,0,"C. Raymond Davis & Sons, Inc.",Steffy Rick,Bid Submitted,Mercedes of Wilmington,1/16/2026,8/26/2025,2508 - MOW,660,"$103,191.00 ","$138,275.94 "
"6"" 4000 PSI Concrete  ",Part,0,Paul Risk Construction,Steffy Rick,Bid Submitted,Mercedes of Wilmington PR,1/16/2026,9/8/2025,2508 - MOWPR,660,"$103,191.00 ","$138,275.94 "
 3000 Psi LW Concrete,Part,0,Heck Construction,Stoltzfus Jr Isaac,Lost,Poplar Square Apartment Building,1/16/2026,12/13/2024,PS - 24 - 001,540,"$105,003.00 ","$137,553.93 "
Slab On Grade Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Steffy Rick,In Progress,Burkholder Tractor,1/16/2026,9/26/2025,2509 - BT,671,"$96,375.73 ","$134,263.87 "
Wall Concrete,Part,0,Wohlsen Construction Company,Steffy Rick,Lost,Crossroads Beverage,1/16/2026,4/3/2025,CB - 25 - 001,691,"$100,713.25 ","$133,948.62 "
Slab On Grade Concrete  ,Part,0,Keystone Steel Structures,Steffy Rick,Bid Submitted,West Building Wolf Movers Keystone,1/16/2026,5/27/2025,WBWMK - 25 - 001,743,"$100,416.45 ","$133,553.88 "
3500 Psi DVC Concrete  ,Part,0,"A & E Construction, Inc.",Stoltzfus Jr Isaac,Lost,Giant Food Store #6582,1/16/2026,10/30/2025,2508 - GI,690,"$98,808.00 ","$133,390.80 "
3500 Psi DVC Concrete  ,Part,0,Lynmar Builders,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/30/2025,2508 - GI,690,"$98,808.00 ","$133,390.80 "
3500 Psi DVC Concrete  ,Part,0,Speedwell Construction Inc.,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/27/2025,2508 - GI,690,"$98,808.00 ","$133,390.80 "
Slab On Grade Concrete  ,Part,0,Brecknock Builders LLC,Steffy Rick,Bid Submitted,West Building Wolf Movers,1/16/2026,5/19/2025,WBWM - 25 - 001,743,"$100,416.45 ","$132,549.71 "
Slab On Grade Concrete  ,Part,0,Warfel Construction,Steffy Rick,Bid Submitted,Arconic B&G,1/16/2026,12/19/2025,2511 - ABG,647,"$97,729.35 ","$129,980.04 "
3500 psi Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Deihm Services,1/16/2026,8/12/2025,2508-DS,680,"$94,064.40 ","$125,105.65 "
5000 Psi DVC Concrete  ,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Ave Horsham Apartments + Garage,1/16/2026,11/4/2025,2510 - HA,519,"$87,197.19 ","$122,076.07 "
Site Concrete Labor ,Labor,2400,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,CANVAS Lawrenceville-Apartments,1/16/2026,10/6/2025,2506 - CL ,2400,"$91,200.00 ","$121,296.00 "
Slab On Grade Labor ,Labor,2400,Wohlsen Construction Company,Steffy Rick,Lost,Crossroads Beverage,1/16/2026,4/2/2025,CB - 25 - 001,2400,"$91,200.00 ","$121,296.00 "
5000 Psi Concrete  ,Part,0,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Collegeville Apartments,1/16/2026,11/6/2025,CA-25-001,534,"$86,636.16 ","$120,424.26 "
 Excavation Subcontractor / BN Excavating ,Subcontractor,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Apartments + Garage,1/16/2026,4/2/2025,WG-25-001,100,"$106,484.90 ","$119,263.09 "
Poured Wall Subcontractor ,Subcontractor,0,"C. Raymond Davis & Sons, Inc.",Stoltzfus Jr Isaac,Bid Submitted,Chabad House,1/16/2026,11/26/2025,2511-CH,100,"$106,825.00 ","$118,575.75 "
Foundation Concrete  ,Part,0,Wohlsen Construction Company,Steffy Rick,Lost,Crossroads Beverage,1/16/2026,4/4/2025,CB - 25 - 001,611,"$89,053.25 ","$118,440.82 "
Poured Wall Subcontractor ,Subcontractor,0,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Collegeville Apartments,1/16/2026,11/6/2025,CA-25-001,100,"$108,500.00 ","$118,265.00 "
Foundation Subcontractor ,Subcontractor,0,Heck Construction,Steffy Rick,Bid Submitted,Richmond Square,1/16/2026,9/16/2025,2509 - RS,521,"$97,948.00 ","$109,701.76 "
Site Concrete Labor ,Labor,1038,CH+N Site,Steffy Rick,Bid Submitted,Swedesford Road Bear Hill Elementary,1/16/2026,6/3/2025,2505 - SRBHE,1038,"$82,168.08 ","$109,283.55 "
Slab On Grade Concrete  ,Part,0,Keystruct Construction LLC,Steffy Rick,Bid Submitted,Commerce Drive Production Facility,1/16/2026,4/25/2025,CD - 25 - 001,536.95,"$81,106.30 ","$107,871.38 "
Slab On Grade Labor ,Labor,2134,Brecknock Builders LLC,Swinehart Shelly,Bid Submitted,Rushtown Poultry,1/16/2026,11/20/2025,2511-RP,2134,"$81,092.00 ","$107,852.36 "
Slab On Grade Labor ,Labor,2134,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Rushtown Poultry,1/16/2026,11/6/2025,2511-RP,2134,"$81,092.00 ","$107,852.36 "
Crane With Operator,Subcontractor,0,"Benchmark Construction Co., Inc.",Steffy Rick,Bid Submitted,Hershey Lumber Company,1/16/2026,8/18/2025,2508 - HLC,4,"$96,000.00 ","$107,520.00 "
4000 Psi Clayton Concrete  ,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,CANVAS Lawrenceville-Apartments,1/16/2026,10/3/2025,2506 - CL ,473,"$79,501.84 ","$105,737.45 "
5000 Psi Concrete  ,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Apartments + Garage,1/16/2026,4/2/2025,WG-25-001,422,"$78,753.64 ","$104,742.34 "
3000 Psi Rohrers Concrete  ,Part,0,Fernmoor Homes,Stoltzfus Jr Isaac,Bid Submitted,Rockvale Apartments,1/16/2026,5/15/2025,2505-RA ,194,"$78,040.38 ","$103,793.70 "
Site Concrete Labor ,Labor,2030,Buch Construction,Stoltzfus Jr Isaac,Bid Submitted,Broadcasting Village,1/16/2026,8/4/2025,BV-25-001,2030,"$77,140.00 ","$102,596.20 "
Site Concrete  ,Part,0,"B.R. Kreider & Son, Inc.",Steffy Rick,Bid Submitted,Brookside Enterprise Phase 6,1/16/2026,4/8/2025,BSE - 25 - 001,547,"$73,927.05 ","$99,062.25 "
"5"" Foundation Concrete  ",Part,0,Paul Risk Construction,Steffy Rick,Bid Submitted,Piazza Porsche,1/16/2026,8/4/2025,2508-PP,452.57,"$72,411.20 ","$97,031.01 "
Site Concrete  ,Part,0,"B.R. Kreider & Son, Inc.",Steffy Rick,Lost,Eagle Point,1/16/2026,9/9/2025,2509 - EP,523,"$73,455.35 ","$96,961.06 "
Site Concrete  ,Part,0,Horst Excavating,Steffy Rick,Bid Submitted,Eagle Point - Horst,1/16/2026,9/10/2025,2509 - EP,523,"$73,455.35 ","$96,961.06 "
Slab On Grade Concrete  ,Part,0,Keystruct Construction LLC,Steffy Rick,Bid Submitted,Commerce Drive Production Facility,1/16/2026,4/25/2025,CD - 25 - 001,481.43,"$72,720.00 ","$96,717.60 "
Poured Wall Subcontractor / Groffdale ,Part,0,Bozzuto Construction Company,Stoltzfus Jr Isaac,Bid Submitted,"Residences at Providence Town Center, Phase 3",1/16/2026,8/15/2025,RP-25-001,1000,"$85,200.00 ","$95,424.00 "
Foundation Concrete  ,Part,0,"Centurion Construction Group, LLC",Steffy Rick,Bid Submitted,Burkentine Warehouse,1/16/2026,4/8/2025,BW - 25 - 001,470,"$70,993.50 ","$95,131.29 "
3000 Psi Rohrers Concrete  ,Part,0,Buch Construction,Stoltzfus Jr Isaac,Bid Submitted,Broadcasting Village,1/16/2026,8/4/2025,BV-25-001,506,"$71,401.66 ","$94,964.21 "
4000 Psi DVC Concrete,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/10/2025,GR-25-001 ,611,"$82,576.65 ","$94,137.38 "
Slab On Grade Labor ,Labor,1757,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Ave Horsham Apartments + Garage,1/16/2026,11/4/2025,2510 - HA,1757,"$66,766.00 ","$93,472.40 "
Slab On Grade Concrete  ,Part,0,Heck Construction,Steffy Rick,Bid Submitted,Lime Spring Office Building,1/16/2026,7/16/2025,2507 - LSOB,171.83,"$69,668.46 ","$92,659.08 "
Telehandler 8000 lb (Rental) Magni Lift,Equipment,0,CCS Building Group,Steffy Rick,Bid Submitted,Mosaic,1/16/2026,11/11/2025,2507 - M,2,"$81,408.00 ","$91,176.96 "
Wall Concrete,Part,0,Wohlsen Construction Company,Steffy Rick,Lost,Crossroads Beverage,1/16/2026,4/4/2025,CB - 25 - 001,458,"$66,753.50 ","$88,782.16 "
 Excavation Subcontractor / BN Excavating,Subcontractor,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Apartments + Garage,1/16/2026,4/2/2025,WG-25-001,100,"$78,707.00 ","$88,151.84 "
4000 Psi Trans-Fleet Concrete,Part,0,Warfel Construction,Stoltzfus Jr Isaac,Bid Submitted,ACTS Lower Gwynedd - Oakbridge Terrace,1/16/2026,9/23/2025,2508 - OT,457,"$65,666.33 ","$87,336.22 "
4000 Psi Trans-Fleet Concrete,Part,0,Wohlsen Construction Company,Stoltzfus Jr Isaac,Bid Submitted,ACTS Lower Gwynedd - Oakbridge Terrace,1/16/2026,9/16/2025,2508 - OT,457,"$65,666.33 ","$87,336.22 "
Slab On Grade Concrete  ,Part,0,Scenic Ridge Construction,Steffy Rick,In Progress,Alexander Drive Addition,1/16/2026,8/25/2025,2508 - ADA,466,"$65,449.70 ","$87,048.10 "
 3000 Psi Trans-Fleet Concrete,Part,0,Bozzuto Construction Company,Stoltzfus Jr Isaac,Bid Submitted,"Residences at Providence Town Center, Phase 3",1/16/2026,8/15/2025,RP-25-001,163,"$65,081.01 ","$85,906.92 "
Slab On Grade Labor ,Labor,1650,"Milex Construction, LLC",Stoltzfus Jr Isaac,Accepted,Sadsbury Commons,1/16/2026,11/19/2025,2508 - SC,1650,"$62,700.00 ","$84,018.00 "
Poured Wall Subcontractor ,Part,0,Heck Construction,Stoltzfus Jr Isaac,Lost,Poplar Square Apartment Building,1/16/2026,12/14/2024,PS - 24 - 001,1,"$75,000.00 ","$84,000.00 "
3000 Psi Concrete  ,Part,0,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Collegeville Apartments,1/16/2026,11/6/2025,CA-25-001,387,"$60,418.44 ","$83,981.63 "
3500 psi Concrete w/F100 Fiber,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Lost,Modern Country Homes,1/16/2026,3/14/2025,MCH-25-001,395.38,"$62,928.68 ","$83,695.15 "
Slab On Grade Labor ,Labor,1665,Scenic Ridge Construction,Stoltzfus Jr Isaac,Bid Submitted,Sadsbury Commons,1/16/2026,9/10/2025,2508 - SC,1665,"$63,270.00 ","$83,516.40 "
Wall Labor,Labor,1648,Wohlsen Construction Company,Steffy Rick,Lost,Crossroads Beverage,1/16/2026,4/3/2025,CB - 25 - 001,1648,"$62,624.00 ","$83,289.92 "
Wall Labor,Labor,540,Fernmoor Homes,Stoltzfus Jr Isaac,Bid Submitted,Rockvale Apartments,1/16/2026,5/15/2025,2505-RA ,540,"$61,560.00 ","$81,874.80 "
"#5 Rebar - 20' Pc At 9"" On Center Each Way ",Part,0,Warfel Construction,Steffy Rick,Bid Submitted,Arconic B&G,1/16/2026,12/19/2025,2511 - ABG,5476,"$61,331.20 ","$81,570.50 "
4000 Psi DVC Concrete  ,Part,0,Scenic Ridge Construction,Stoltzfus Jr Isaac,Bid Submitted,Sadsbury Commons,1/16/2026,9/10/2025,2508 - SC,418,"$61,446.00 ","$81,108.72 "
Slab On Grade Labor ,Labor,1475,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Ave Horsham Apartments + Garage,1/16/2026,11/4/2025,2510 - HA,1475,"$56,050.00 ","$78,470.00 "
4000 Psi Concrete  ,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Apartments + Garage,1/16/2026,4/2/2025,WG-25-001,388,"$58,929.44 ","$78,376.16 "
Poured Wall Subcontractor / Weiler Walls ,Part,0,"Benchmark Construction Co., Inc.",Stoltzfus Jr Isaac,In Progress,UGI Middletown Warehouse,1/16/2026,4/8/2025,MW-25-001,1000,"$69,920.00 ","$78,310.40 "
Foundation Subcontractor ,Subcontractor,0,Scenic Ridge Construction,Steffy Rick,Bid Submitted,Pro Ag,1/16/2026,9/10/2025,2509 - PA,1,"$69,855.00 ","$78,237.60 "
Slab On Grade Labor ,Labor,1536,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Lancaster Log Cabins 2025,1/16/2026,8/5/2025,2507-LLC,1536,"$58,368.00 ","$77,629.44 "
Slab On Grade Concrete  ,Part,0,"Benchmark Construction Co., Inc.",Steffy Rick,Bid Submitted,Hershey Lumber Company,1/16/2026,8/12/2025,2508 - HLC,409,"$57,444.05 ","$76,975.03 "
4500 Psi Clayton Concrete  ,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,CANVAS Lawrenceville-Apartments,1/16/2026,10/6/2025,2506 - CL ,327,"$57,578.16 ","$76,578.95 "
3500 psi Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Ladder Tower Addition,1/16/2026,7/21/2025,2507-LTA,415.56,"$57,484.41 ","$76,454.27 "
Slab On Grade Labor ,Labor,1470,"A & E Construction, Inc.",Stoltzfus Jr Isaac,Lost,Giant Food Store #6582,1/16/2026,10/30/2025,2508 - GI,1470,"$55,860.00 ","$75,411.00 "
Slab On Grade Labor ,Labor,1470,Lynmar Builders,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/30/2025,2508 - GI,1470,"$55,860.00 ","$75,411.00 "
Slab On Grade Labor ,Labor,1470,Speedwell Construction Inc.,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/27/2025,2508 - GI,1470,"$55,860.00 ","$75,411.00 "
