Customer,Projectname,WIPMonth,%InMonth
"Hoover Building Specialists, Inc.",Shank Door Main Building,6/1/2026,40%
"Hoover Building Specialists, Inc.",Shank Door Main Building,7/1/2026,20%
"Benchmark Construction Co., Inc.",UGI Middletown Warehouse,6/1/2025,20%
"Benchmark Construction Co., Inc.",UGI Middletown Warehouse,7/1/2025,30%
"Benchmark Construction Co., Inc.",UGI Middletown Warehouse,8/1/2025,27%
"Benchmark Construction Co., Inc.",UGI Middletown Warehouse,10/1/2025,15%
"Benchmark Construction Co., Inc.",UGI Middletown Warehouse,11/1/2025,8%
Warfel Construction,Veritas Academy,4/1/2026,30%
Warfel Construction,Veritas Academy,5/1/2026,40%
Warfel Construction,Veritas Academy,6/1/2026,30%
Berg Construction,Washburn Dam,12/1/2025,30%
Berg Construction,Washburn Dam,1/1/2026,20%
Berg Construction,Washburn Dam,3/1/2026,50%
